Danske navn;Latinske navn;Engelske navn
Sporevibe;Hoplopterus spinosus;Spur-winged Plover
Sorthovedet Vibe;Hoplopterus tectus;Black-headed Plover
Indisk Vibe;Hoplopterus indicus;Red-wattled Plover
Steppevibe;Vanellus gregarius;Sociable Lapwing
Sumpvibe;Vanellus leucurus;White-tailed Lapwing
Vibe;Vanellus vanellus;Northern Lapwing
Storryle;Calidris tenuirostris;Great Knot
Islandsk Ryle;Calidris canutus;Red Knot
Sandløber;Calidris alba;Sanderling
Tyknæbbet Dværgryle;Calidris pusilla;Semipalmated Sandpiper
Alaskaryle;Calidris mauri;Western Sandpiper
Rødhalset Ryle;Calidris ruficollis;Red-necked Stint
Dværgryle;Calidris minuta;Little Stint
Temmincksryle;Calidris temminckii;Temminck’s Stint
Langtået Ryle;Calidris subminuta;Long-toed Stint
Amerikansk Dværgryle;Calidris minutilla;Least Sandpiper
Hvidrygget Ryle;Calidris fuscicollis;White-rumped Sandpiper
Bairdsryle;Calidris bairdii;Baird’s Sandpiper
Stribet Ryle;Calidris melanotos;Pectoral Sandpiper
Spidshalet Ryle;Calidris acuminata;Sharp-tailed Sandpiper
Krumnæbbet Ryle;Calidris ferruginea;Curlew Sandpiper
Sortgrå Ryle;Calidris maritima;Purple Sandpiper
Almindelig Ryle;Calidris alpina;Dunlin
Kærløber;Limicola falcinellus;Broad-billed Sandpiper
Klireryle;Calidris himantopus;Stilt Sandpiper
Prærieløber;Tryngites subruficollis;Buff-breasted Sandpiper
Brushane;Philomachus pugnax;Ruff
Enkeltbekkasin;Lymnocryptes minimus;Jack Snipe
Dobbeltbekkasin;Gallinago gallinago;Common Snipe
Amerikansk Bekkasin;Gallinago delicata;Wilson’s Snipe
Tredækker;Gallinago media;Great Snipe
Sibirisk Bekkasin;Gallinago stenura;Pin-tailed Snipe
Tajgabekkasin;Gallinago megala;Swinhoe’s Snipe
Kortnæbbet Sneppeklire;Limnodromus griseus;Short-billed Dowitcher
Langnæbbet Sneppeklire;Limnodromus scolopaceus;Long-billed Dowitcher
Skovsneppe;Scolopax rusticola;Eurasian Woodcock
Amerikansk Skovsneppe;Scolopax minor;American Woodcock
Stor Kobbersneppe;Limosa limosa;Black-tailed Godwit
Canadisk Kobbersneppe;Limosa haemastica;Hudsonian Godwit
Lille Kobbersneppe;Limosa lapponica;Bar-tailed Godwit
Dværgspove;Numenius minutus;Little Curlew
Eskimospove;Numenius borealis;Eskimo Curlew
Amerikansk Småspove;Numenius hudsonicus;Hudsonian Whimbrel
Småspove;Numenius phaeopus;Whimbrel
Tyndnæbbet Spove;Numenius tenuirostris;Slender-billed Curlew
Storspove;Numenius arquata;Eurasian Curlew
Bartramsklire;Bartramia longicauda;Upland Sandpiper
Terekklire;Xenus cinereus;Terek Sandpiper
Mudderklire;Actitis hypoleucos;Common Sandpiper
Plettet Mudderklire;Actitis macularius;Spotted Sandpiper
Svaleklire;Tringa ochropus;Green Sandpiper
Amerikansk Svaleklire;Tringa solitaria;Solitary Sandpiper
Sibirisk Gråklire;Tringa brevipes;Grey-tailed Tattler
